 2022-04-19 23:10:45,560 - Key.caps_lock
 2022-04-19 23:10:47,025 - 'w'
 2022-04-19 23:10:47,257 - Key.caps_lock
 2022-04-19 23:10:47,548 - 'o'
 2022-04-19 23:10:47,718 - 'w'
 2022-04-19 23:10:48,509 - ','
 2022-04-19 23:10:48,710 - Key.space
 2022-04-19 23:10:48,823 - Key.caps_lock
 2022-04-19 23:10:49,091 - 's'
 2022-04-19 23:10:49,292 - Key.caps_lock
 2022-04-19 23:10:49,693 - 'o'
 2022-04-19 23:10:49,759 - Key.space
 2022-04-19 23:10:50,575 - Key.caps_lock
 2022-04-19 23:10:50,678 - 'i'
 2022-04-19 23:10:50,806 - Key.caps_lock
 2022-04-19 23:10:50,890 - Key.space
 2022-04-19 23:10:51,049 - 'a'
 2022-04-19 23:10:51,210 - 'm'
 2022-04-19 23:10:51,513 - Key.space
 2022-04-19 23:10:51,654 - 'a'
 2022-04-19 23:10:51,991 - 'c'
 2022-04-19 23:10:52,370 - 't'
 2022-04-19 23:10:52,562 - 'u'
 2022-04-19 23:10:52,820 - 'a'
 2022-04-19 23:10:53,123 - 'l'
 2022-04-19 23:10:53,806 - 'y'
 2022-04-19 23:10:54,037 - Key.space
 2022-04-19 23:10:54,212 - 'b'
 2022-04-19 23:10:54,490 - 'e'
 2022-04-19 23:10:54,688 - 'i'
 2022-04-19 23:10:55,081 - 'n'
 2022-04-19 23:10:55,207 - 'g'
 2022-04-19 23:10:56,560 - Key.space
 2022-04-19 23:10:59,623 - 'h'
 2022-04-19 23:10:59,784 - 'a'
 2022-04-19 23:11:00,102 - 'c'
 2022-04-19 23:11:01,565 - '.'
 2022-04-19 23:11:01,752 - '.'
 2022-04-19 23:11:01,936 - '.'
 2022-04-19 23:11:03,927 - Key.space
 2022-04-19 23:11:04,353 - 'r'
 2022-04-19 23:11:04,490 - 'n'
 2022-04-19 23:11:46,597 - Key.enter
 2022-04-19 23:11:47,162 - Key.ctrl_l
 2022-04-19 23:11:47,627 - '\x16'
 2022-04-19 23:12:28,078 - Key.enter
 2022-04-19 23:12:28,517 - Key.up
 2022-04-19 23:12:29,603 - Key.enter
 2022-04-19 23:12:30,003 - Key.caps_lock
 2022-04-19 23:12:30,159 - 'y'
 2022-04-19 23:12:30,307 - Key.caps_lock
 2022-04-19 23:12:30,462 - 'o'
 2022-04-19 23:12:30,649 - 'u'
 2022-04-19 23:12:31,010 - Key.space
 2022-04-19 23:12:31,303 - 'n'
 2022-04-19 23:12:31,542 - 'e'
 2022-04-19 23:12:31,683 - 'e'
 2022-04-19 23:12:31,874 - 'd'
